total,state,zone,date,sales
total,State 2,Zone R,2021-07-26,4799
total,State 3,Zone Q,2023-05-14,7370
total,State 1,Zone P,2022-02-19,6646
total,State 3,Zone P,2023-03-06,2994
total,State 3,Zone P,2020-05-07,3370
total,State 2,Zone Q,2020-11-11,14123
total,State 1,Zone P,2021-04-23,7566
total,State 1,Zone Q,2023-02-06,3571
total,State 2,Zone R,2022-11-18,9841
total,State 2,Zone R,2022-12-03,16294
total,State 3,Zone P,2020-06-29,2188
total,State 3,Zone R,2020-02-23,4644
total,State 2,Zone Q,2023-05-29,9405
total,State 1,Zone R,2022-02-16,7972
total,State 2,Zone P,2021-09-30,10723
total,State 3,Zone R,2023-03-02,5791
total,State 1,Zone R,2021-05-07,5247
total,State 2,Zone P,2020-04-24,11400
total,State 1,Zone R,2022-10-26,7910
total,State 3,Zone P,2020-12-12,7297
total,State 3,Zone P,2021-01-03,8007
total,State 3,Zone R,2023-08-31,3224
total,State 2,Zone R,2021-08-19,7652
total,State 3,Zone Q,2023-11-06,5256
total,State 3,Zone P,2021-02-22,2894
total,State 1,Zone P,2021-03-25,7976
total,State 3,Zone P,2023-05-20,5642
total,State 2,Zone R,2022-05-30,7619
total,State 2,Zone Q,2021-03-16,7120
total,State 3,Zone P,2023-09-07,5562
total,State 1,Zone Q,2023-11-26,11113
total,State 1,Zone Q,2021-02-14,6085
total,State 2,Zone Q,2023-08-26,9126
total,State 1,Zone P,2020-06-07,6632
total,State 1,Zone P,2020-10-01,5500
total,State 1,Zone R,2022-07-17,5319
total,State 1,Zone R,2020-09-02,5174
total,State 1,Zone Q,2021-11-26,9523
total,State 3,Zone R,2020-12-28,4578
total,State 3,Zone R,2020-04-10,3891
total,State 1,Zone Q,2020-05-10,7229
total,State 1,Zone R,2022-04-11,5996
total,State 2,Zone R,2023-02-07,6400
total,State 2,Zone Q,2023-02-08,8789
total,State 2,Zone R,2023-05-18,6708
total,State 1,Zone R,2020-12-24,6609
total,State 3,Zone P,2023-02-04,5941
total,State 3,Zone P,2023-05-03,6400
total,State 2,Zone P,2023-08-11,7413
total,State 3,Zone Q,2023-01-30,4247
total,State 1,Zone Q,2023-08-14,4107
total,State 1,Zone Q,2020-02-19,4283
total,State 3,Zone P,2023-02-26,6288
total,State 2,Zone P,2021-06-12,6952
total,State 1,Zone P,2023-10-04,6277
total,State 1,Zone R,2022-03-19,5880
total,State 2,Zone P,2023-02-20,6644
total,State 1,Zone Q,2020-04-19,5115
total,State 3,Zone P,2022-06-30,3078
total,State 1,Zone P,2021-11-26,10163
total,State 2,Zone Q,2022-10-12,7597
total,State 3,Zone Q,2020-05-17,4044
total,State 3,Zone P,2020-02-02,5418
total,State 2,Zone R,2021-12-15,8015
total,State 2,Zone Q,2022-02-26,10142
total,State 3,Zone P,2022-09-30,6619
total,State 3,Zone Q,2021-03-04,5627
total,State 3,Zone R,2021-05-20,4319
total,State 2,Zone P,2023-07-21,7468
total,State 1,Zone P,2021-02-20,5989
total,State 1,Zone Q,2023-07-21,3125
total,State 3,Zone Q,2021-06-22,2834
total,State 3,Zone R,2021-09-22,5125
total,State 2,Zone Q,2022-03-13,11130
total,State 2,Zone Q,2020-02-22,12214
total,State 1,Zone P,2023-11-25,12458
total,State 3,Zone R,2020-09-10,6387
total,State 2,Zone P,2021-08-08,5046
total,State 1,Zone Q,2023-03-02,6859
total,State 3,Zone Q,2022-01-09,10060
total,State 3,Zone Q,2021-03-08,3524
total,State 2,Zone P,2021-12-24,9113
total,State 1,Zone R,2021-08-02,4432
total,State 3,Zone P,2023-01-14,9578
total,State 1,Zone Q,2021-01-13,10270
total,State 3,Zone Q,2021-10-17,4074
total,State 1,Zone R,2021-12-23,6660
total,State 2,Zone P,2023-06-09,5008
total,State 1,Zone R,2023-08-28,4571
total,State 2,Zone Q,2021-06-24,6571
total,State 2,Zone R,2023-05-19,6351
total,State 1,Zone R,2023-05-28,8714
total,State 2,Zone R,2020-12-07,7441
total,State 2,Zone R,2021-05-15,13363
total,State 3,Zone Q,2020-03-09,3053
total,State 2,Zone P,2023-08-23,5741
total,State 1,Zone P,2023-11-26,9946
total,State 1,Zone Q,2023-07-04,4110
total,State 2,Zone R,2022-04-26,9852
total,State 3,Zone Q,2022-02-09,4909
total,State 3,Zone Q,2021-07-21,2926
total,State 1,Zone R,2021-01-25,7393
total,State 3,Zone P,2021-10-12,3968
total,State 3,Zone P,2022-05-18,5785
total,State 1,Zone Q,2022-12-11,8394
total,State 3,Zone P,2021-12-15,5124
total,State 1,Zone Q,2020-03-19,5437
total,State 1,Zone Q,2023-01-16,6717
total,State 3,Zone P,2021-06-19,4505
total,State 1,Zone P,2020-12-29,8680
total,State 1,Zone R,2022-08-01,2524
total,State 2,Zone P,2020-09-15,5949
total,State 3,Zone P,2022-07-28,3574
total,State 1,Zone R,2022-12-23,7334
total,State 2,Zone Q,2020-06-08,4045
total,State 1,Zone P,2020-02-07,4639
total,State 3,Zone Q,2020-06-08,2955
total,State 3,Zone P,2020-02-16,4743
total,State 2,Zone Q,2020-05-28,8253
total,State 2,Zone R,2023-02-15,10309
total,State 2,Zone R,2022-11-19,13230
total,State 1,Zone P,2023-06-02,4649
total,State 1,Zone P,2022-09-10,9294
total,State 1,Zone R,2023-04-25,7342
total,State 2,Zone R,2022-08-20,6889
total,State 1,Zone R,2020-03-24,7930
total,State 3,Zone Q,2023-03-17,6377
total,State 2,Zone R,2022-06-15,7032
total,State 2,Zone P,2022-09-18,10422
total,State 1,Zone P,2022-10-06,7242
total,State 2,Zone Q,2023-09-06,7692
total,State 2,Zone Q,2020-11-01,16935
total,State 1,Zone R,2023-03-08,4882
total,State 1,Zone P,2023-12-30,11720
total,State 2,Zone R,2022-12-20,9531
total,State 1,Zone P,2021-10-18,5942
total,State 1,Zone R,2020-05-10,5442
total,State 1,Zone R,2021-11-01,5325
total,State 2,Zone P,2021-03-17,9154
total,State 3,Zone R,2021-12-31,7588
total,State 1,Zone Q,2023-08-25,4154
total,State 3,Zone R,2023-08-04,3528
total,State 1,Zone P,2021-01-09,7269
total,State 3,Zone P,2021-10-11,3325
total,State 1,Zone P,2022-11-21,7818
total,State 2,Zone P,2020-06-12,5751
total,State 3,Zone R,2022-03-26,5117
total,State 2,Zone Q,2021-03-20,8898
total,State 3,Zone P,2022-03-02,4677
total,State 2,Zone R,2021-12-30,13000
total,State 3,Zone R,2021-06-27,5296
total,State 1,Zone R,2021-04-01,6466
total,State 1,Zone R,2021-12-25,12552
total,State 2,Zone P,2023-03-02,6057
total,State 3,Zone P,2022-08-14,4787
total,State 3,Zone R,2021-07-02,4009
total,State 3,Zone R,2021-10-03,6891
total,State 3,Zone P,2021-10-08,6297
total,State 3,Zone P,2021-04-16,4490
total,State 3,Zone P,2020-07-20,2515
total,State 3,Zone P,2023-12-05,6423
total,State 2,Zone P,2022-07-18,5329
total,State 1,Zone Q,2020-11-24,8204
total,State 3,Zone P,2021-04-18,4756
total,State 3,Zone P,2021-09-19,4814
total,State 2,Zone R,2020-02-11,6963
total,State 2,Zone R,2020-01-09,12837
total,State 2,Zone Q,2021-12-23,9598
total,State 2,Zone Q,2023-12-31,11179
total,State 2,Zone Q,2023-10-13,6301
total,State 1,Zone P,2020-11-15,9542
total,State 1,Zone R,2023-01-29,9785
total,State 1,Zone Q,2020-09-08,5780
total,State 2,Zone R,2022-06-05,9705
total,State 1,Zone P,2021-01-25,6615
total,State 1,Zone Q,2022-10-09,9296
total,State 3,Zone Q,2021-12-30,5818
total,State 1,Zone P,2023-10-15,6450
total,State 2,Zone Q,2022-06-30,5727
total,State 2,Zone P,2023-06-14,7065
total,State 1,Zone Q,2020-07-25,6626
total,State 2,Zone R,2021-04-24,7490
total,State 1,Zone R,2022-08-14,4595
total,State 2,Zone Q,2021-08-03,5925
total,State 3,Zone P,2020-09-17,3489
total,State 1,Zone R,2020-07-21,5582
total,State 2,Zone P,2020-05-13,8114
total,State 3,Zone P,2022-10-24,2915
total,State 3,Zone Q,2023-07-05,2669
total,State 3,Zone R,2021-03-13,6035
total,State 2,Zone P,2022-01-14,9386
total,State 1,Zone R,2021-05-17,5224
total,State 2,Zone Q,2021-09-21,8874
total,State 1,Zone Q,2020-11-09,6989
total,State 1,Zone R,2020-12-06,11510
total,State 1,Zone R,2021-06-27,5627
total,State 3,Zone Q,2023-04-06,6321
total,State 1,Zone Q,2021-04-10,9492
total,State 2,Zone P,2023-06-07,8264
total,State 3,Zone R,2023-09-10,5461
total,State 2,Zone Q,2021-09-20,8311
total,State 3,Zone Q,2022-09-05,4990
total,State 2,Zone P,2022-06-15,6011
total,State 1,Zone P,2021-08-10,4225
total,State 3,Zone R,2023-08-25,2940
total,State 1,Zone P,2020-12-17,5438
total,State 3,Zone R,2020-12-01,5973
total,State 2,Zone R,2021-05-26,8010
total,State 2,Zone P,2023-05-07,12402
total,State 1,Zone Q,2022-01-17,8364
total,State 2,Zone R,2022-08-10,5472
total,State 3,Zone R,2021-05-07,3849
total,State 3,Zone P,2023-11-13,6262
total,State 3,Zone P,2022-02-21,4598
total,State 3,Zone Q,2023-01-02,6327
total,State 1,Zone R,2021-02-16,7675
total,State 3,Zone P,2022-05-16,2875
total,State 2,Zone R,2020-09-02,9540
total,State 2,Zone P,2023-08-25,4287
total,State 1,Zone Q,2020-05-07,6550
total,State 2,Zone R,2020-01-14,9224
total,State 3,Zone R,2020-10-20,4191
total,State 1,Zone Q,2023-10-16,4307
total,State 1,Zone R,2020-12-05,11874
total,State 1,Zone Q,2023-12-21,9841
total,State 3,Zone R,2020-06-03,3050
total,State 2,Zone Q,2020-03-18,11632
total,State 3,Zone Q,2022-01-01,5784
total,State 3,Zone P,2022-05-19,5376
total,State 2,Zone Q,2021-04-08,10477
total,State 3,Zone P,2020-01-04,10149
total,State 2,Zone R,2021-03-19,6694
total,State 2,Zone R,2023-12-22,9878
total,State 3,Zone R,2021-12-16,4629
total,State 2,Zone P,2022-12-02,12548
total,State 2,Zone R,2022-01-17,8401
total,State 2,Zone R,2022-03-29,8666
total,State 1,Zone R,2021-01-04,4719
total,State 1,Zone R,2021-09-17,5843
total,State 3,Zone P,2022-04-11,2915
total,State 2,Zone P,2022-12-31,17176
total,State 3,Zone Q,2022-11-30,4580
total,State 3,Zone Q,2023-03-08,3960
total,State 1,Zone P,2021-05-18,7625
total,State 1,Zone Q,2020-11-22,10876
total,State 1,Zone R,2021-03-13,9680
total,State 2,Zone P,2023-08-04,6619
total,State 2,Zone R,2021-10-22,8051
total,State 2,Zone P,2021-10-18,6282
total,State 1,Zone Q,2022-05-06,7018
total,State 3,Zone R,2022-06-30,3154
total,State 1,Zone R,2020-10-12,5373
total,State 2,Zone R,2022-11-06,10137
total,State 3,Zone P,2021-02-14,5275
total,State 2,Zone R,2022-09-17,9229
total,State 2,Zone R,2020-02-29,9978
total,State 1,Zone R,2023-01-12,8586
total,State 1,Zone P,2022-04-02,8648
total,State 1,Zone P,2023-06-29,5441
total,State 1,Zone R,2023-12-15,8127
total,State 1,Zone P,2020-02-23,9753
total,State 1,Zone P,2020-05-02,5801
total,State 3,Zone P,2022-10-29,5433
total,State 2,Zone R,2023-01-04,10756
total,State 3,Zone P,2021-04-01,4861
total,State 1,Zone P,2023-08-08,3749
total,State 2,Zone Q,2023-05-09,11353
total,State 2,Zone Q,2023-07-22,5090
total,State 1,Zone Q,2022-12-24,6615
total,State 1,Zone Q,2021-07-08,4759
total,State 1,Zone P,2021-12-04,11203
total,State 3,Zone Q,2021-08-22,4022
total,State 3,Zone Q,2021-10-30,4671
total,State 2,Zone R,2023-08-07,6057
total,State 3,Zone R,2021-01-08,5630
total,State 1,Zone P,2020-06-09,4594
total,State 2,Zone P,2023-07-13,8322
total,State 1,Zone R,2023-06-05,3648
total,State 3,Zone P,2020-12-11,6094
total,State 2,Zone P,2023-12-21,12116
total,State 3,Zone Q,2021-02-23,6287
total,State 2,Zone P,2020-08-29,8160
total,State 3,Zone P,2020-05-24,6962
total,State 2,Zone R,2021-11-18,9255
total,State 3,Zone Q,2022-05-07,6517
total,State 1,Zone P,2023-10-30,6342
total,State 2,Zone R,2021-11-29,10822
total,State 2,Zone P,2021-12-16,14162
total,State 3,Zone Q,2021-08-16,2001
total,State 1,Zone R,2020-08-20,3288
total,State 2,Zone Q,2023-08-16,5565
total,State 1,Zone P,2020-11-17,10149
total,State 1,Zone Q,2021-05-08,7186
total,State 2,Zone P,2022-07-25,6258
total,State 1,Zone P,2023-11-15,9767
total,State 2,Zone R,2022-11-01,14604
total,State 3,Zone R,2020-11-13,4890
total,State 1,Zone Q,2022-08-01,3152
total,State 3,Zone R,2022-03-16,4771
total,State 2,Zone P,2021-05-24,7785
total,State 2,Zone Q,2023-08-03,7346
total,State 2,Zone P,2020-12-05,14447
total,State 1,Zone Q,2022-06-24,4462
total,State 3,Zone R,2023-05-04,5823
total,State 3,Zone R,2021-07-14,2439
total,State 1,Zone P,2021-07-21,3803
total,State 1,Zone P,2022-10-16,9724
total,State 3,Zone R,2023-02-07,5219
total,State 3,Zone Q,2022-04-26,3487
total,State 1,Zone R,2022-12-24,7791
total,State 2,Zone R,2022-05-29,10344
total,State 3,Zone P,2023-03-28,4441
total,State 3,Zone Q,2023-07-31,2397
total,State 1,Zone P,2021-07-31,5290
total,State 1,Zone Q,2020-06-19,4283
total,State 2,Zone Q,2020-03-29,8153
total,State 1,Zone R,2022-06-26,6070
total,State 1,Zone Q,2021-02-04,7710
total,State 1,Zone R,2020-09-17,4485
total,State 3,Zone P,2022-12-28,6791
total,State 3,Zone Q,2020-02-04,4420
total,State 1,Zone Q,2021-05-01,8515
total,State 1,Zone Q,2023-05-07,9344
total,State 3,Zone Q,2020-01-24,5158
total,State 1,Zone P,2020-09-15,4213
total,State 1,Zone Q,2022-06-12,6148
total,State 2,Zone P,2022-01-24,6391
total,State 2,Zone Q,2022-02-04,11101
total,State 1,Zone Q,2021-08-31,5671
total,State 1,Zone R,2022-02-17,7559
total,State 1,Zone R,2023-04-15,9497
total,State 2,Zone R,2020-03-01,12547
total,State 1,Zone Q,2020-12-07,7221
total,State 2,Zone R,2023-11-20,6441
total,State 1,Zone R,2020-04-26,7767
total,State 2,Zone R,2021-12-21,13550
total,State 3,Zone R,2021-05-21,6579
total,State 2,Zone R,2022-08-17,6012
total,State 3,Zone R,2022-08-08,2928
total,State 1,Zone Q,2020-06-20,6056
total,State 1,Zone Q,2020-11-04,6354
total,State 1,Zone Q,2023-03-23,7816
total,State 3,Zone R,2022-01-27,4691
total,State 1,Zone Q,2022-07-10,4721
total,State 2,Zone R,2023-11-16,7944
total,State 1,Zone R,2020-11-29,9545
total,State 1,Zone Q,2023-01-28,9067
total,State 3,Zone R,2022-03-03,6026
total,State 1,Zone R,2020-04-10,5811
total,State 3,Zone Q,2020-02-15,6812
total,State 1,Zone R,2020-06-13,5974
total,State 3,Zone P,2022-02-10,4118
total,State 1,Zone Q,2022-04-13,4307
total,State 3,Zone P,2022-02-18,6548
total,State 3,Zone P,2020-08-15,4872
total,State 3,Zone Q,2020-12-09,6083
total,State 2,Zone P,2023-04-21,7017
total,State 1,Zone Q,2021-09-28,5475
total,State 1,Zone P,2022-08-18,3992
total,State 1,Zone Q,2020-02-02,5502
total,State 3,Zone P,2021-02-11,5285
total,State 3,Zone Q,2022-08-27,3412
total,State 2,Zone Q,2022-04-04,8852
total,State 2,Zone Q,2020-07-16,7158
total,State 1,Zone Q,2023-03-11,6522
total,State 2,Zone R,2021-07-10,6366
total,State 3,Zone R,2022-04-14,5145
total,State 2,Zone P,2023-05-15,7872
total,State 3,Zone P,2021-07-07,4275
total,State 3,Zone P,2020-02-13,3366
total,State 2,Zone Q,2020-05-10,12530
total,State 3,Zone Q,2022-11-14,5130
total,State 1,Zone P,2022-12-05,7379
total,State 2,Zone P,2023-10-10,8930
total,State 1,Zone Q,2020-09-04,8047
total,State 3,Zone P,2020-11-24,7914
total,State 1,Zone R,2022-03-18,8013
total,State 3,Zone R,2020-08-04,3930
total,State 1,Zone P,2020-09-20,9258
total,State 1,Zone P,2023-11-06,8508
total,State 1,Zone P,2021-07-04,4881
total,State 1,Zone P,2020-03-17,5943
total,State 3,Zone P,2022-05-30,3000
total,State 2,Zone R,2022-05-04,6087
total,State 2,Zone Q,2023-04-28,7086
total,State 3,Zone P,2021-12-03,5866
total,State 1,Zone R,2020-02-14,5834
total,State 2,Zone R,2020-04-28,10260
total,State 3,Zone R,2020-03-19,3364
total,State 3,Zone Q,2020-10-28,6391
total,State 3,Zone Q,2023-06-20,3070
total,State 3,Zone P,2021-01-28,6097
total,State 3,Zone R,2022-10-05,4827
total,State 1,Zone P,2021-07-30,4699
total,State 1,Zone R,2022-10-11,6412
total,State 3,Zone P,2023-04-25,3554
total,State 2,Zone Q,2021-03-26,8127
total,State 3,Zone R,2021-10-22,3438
total,State 3,Zone P,2022-01-26,6791
total,State 1,Zone Q,2023-12-27,5924
total,State 3,Zone R,2020-03-30,3403
total,State 1,Zone P,2022-11-16,6267
total,State 2,Zone P,2023-01-08,15524
total,State 2,Zone R,2022-02-26,7527
total,State 2,Zone R,2021-10-03,9342
total,State 3,Zone Q,2022-10-15,4886
total,State 1,Zone P,2022-02-11,4813
total,State 1,Zone Q,2021-08-30,4169
total,State 3,Zone P,2022-06-29,3651
total,State 2,Zone P,2021-01-03,16755
total,State 1,Zone Q,2022-10-20,8065
total,State 1,Zone R,2023-12-27,7752
total,State 1,Zone P,2020-02-05,6827
total,State 2,Zone Q,2021-07-15,5232
total,State 2,Zone P,2023-01-02,11206
total,State 1,Zone Q,2020-09-13,9432
total,State 2,Zone Q,2023-11-04,10521
total,State 1,Zone P,2021-07-12,3772
total,State 2,Zone P,2021-02-23,8032
total,State 3,Zone R,2021-12-20,3651
total,State 2,Zone R,2021-11-28,13339
total,State 3,Zone Q,2023-04-25,6096
total,State 2,Zone R,2021-06-05,9094
total,State 1,Zone R,2023-04-09,9552
total,State 1,Zone P,2023-10-24,7223
total,State 1,Zone Q,2021-09-22,5149
total,State 1,Zone P,2021-01-18,5386
total,State 2,Zone R,2021-02-10,9333
total,State 3,Zone R,2020-03-15,6845
total,State 3,Zone R,2023-08-05,4316
total,State 3,Zone Q,2021-05-03,3513
total,State 2,Zone Q,2020-02-20,8483
total,State 3,Zone R,2022-03-01,4987
total,State 1,Zone Q,2022-09-09,5031
total,State 3,Zone R,2023-08-12,3857
total,State 3,Zone R,2022-06-26,3520
total,State 1,Zone Q,2023-01-31,6526
total,State 1,Zone P,2022-01-30,11581
total,State 3,Zone R,2023-03-13,4238
total,State 2,Zone P,2023-10-26,10036
total,State 3,Zone R,2020-03-03,5629
total,State 3,Zone Q,2023-06-01,3132
total,State 1,Zone Q,2020-07-23,5684
total,State 2,Zone P,2022-08-07,5320
total,State 3,Zone P,2023-01-20,6606
total,State 3,Zone R,2023-01-26,8370
total,State 2,Zone P,2021-07-17,6450
total,State 1,Zone P,2023-09-23,6464
total,State 2,Zone P,2021-08-17,6761
total,State 3,Zone P,2023-06-28,3285
total,State 3,Zone R,2022-07-20,2531
total,State 3,Zone P,2022-01-22,9123
total,State 3,Zone R,2022-11-01,4680
total,State 1,Zone Q,2021-01-08,5497
total,State 2,Zone P,2023-10-14,11519
total,State 2,Zone P,2023-06-06,6655
total,State 3,Zone P,2020-12-18,6295
total,State 3,Zone Q,2020-03-15,7115
total,State 3,Zone R,2021-12-24,6081
total,State 2,Zone P,2021-11-13,10928
total,State 3,Zone P,2022-04-30,7794
total,State 1,Zone R,2023-12-09,11559
total,State 1,Zone P,2020-12-31,6043
total,State 1,Zone Q,2021-06-19,4980
total,State 1,Zone R,2023-12-26,7228
total,State 2,Zone Q,2022-01-28,12703
total,State 1,Zone Q,2022-10-17,3926
total,State 3,Zone P,2020-04-04,7650
total,State 2,Zone Q,2020-03-22,8512
total,State 2,Zone R,2023-06-13,4999
total,State 2,Zone Q,2021-09-22,11525
total,State 2,Zone R,2021-05-29,14094
total,State 1,Zone P,2022-01-03,5099
total,State 2,Zone R,2020-08-22,5641
total,State 1,Zone Q,2022-12-05,5749
total,State 2,Zone P,2023-08-29,8204
total,State 2,Zone P,2020-01-07,10666
total,State 1,Zone Q,2023-11-07,5623
total,State 1,Zone P,2022-07-18,4069
total,State 1,Zone P,2022-02-14,4937
total,State 2,Zone R,2023-06-17,9679
total,State 2,Zone Q,2023-10-02,8887
total,State 2,Zone R,2020-06-18,5480
total,State 1,Zone R,2020-07-18,3882
total,State 2,Zone R,2020-12-11,13803
total,State 3,Zone R,2020-02-18,4471
total,State 1,Zone Q,2020-09-25,7811
total,State 3,Zone R,2022-10-28,4054
total,State 2,Zone Q,2023-01-25,8735
total,State 1,Zone R,2022-09-24,6403
total,State 3,Zone Q,2023-07-10,2857
total,State 3,Zone R,2020-04-12,5238
total,State 2,Zone R,2020-08-23,8970
total,State 1,Zone Q,2020-10-27,4649
total,State 1,Zone R,2023-12-01,9942
total,State 2,Zone R,2020-09-15,11123
total,State 3,Zone R,2021-08-07,3804
total,State 2,Zone Q,2020-06-27,7350
total,State 2,Zone R,2023-01-23,10381
total,State 3,Zone P,2023-01-01,9468
total,State 2,Zone P,2023-08-20,9096
total,State 2,Zone P,2022-07-22,6730
total,State 2,Zone P,2022-04-05,11045
total,State 1,Zone R,2023-09-13,4682
total,State 2,Zone Q,2021-07-02,6844
total,State 3,Zone Q,2021-07-10,5080
total,State 3,Zone Q,2021-05-29,7573
total,State 3,Zone Q,2021-11-03,5101
total,State 3,Zone P,2021-07-20,3419
total,State 3,Zone R,2020-12-23,4999
total,State 2,Zone P,2021-11-23,13797
total,State 1,Zone P,2020-04-01,6242
total,State 2,Zone Q,2021-05-17,8376
total,State 3,Zone Q,2022-04-01,6103
total,State 1,Zone P,2023-03-04,9675
total,State 3,Zone P,2023-10-04,3631
total,State 3,Zone Q,2021-02-19,5077
total,State 1,Zone Q,2022-11-18,7644
total,State 3,Zone Q,2021-08-11,2488
total,State 2,Zone R,2022-01-13,15230
total,State 2,Zone P,2023-04-05,6406
total,State 2,Zone Q,2023-03-17,6570
total,State 2,Zone P,2020-07-17,5981
total,State 2,Zone P,2022-10-25,9624
total,State 2,Zone R,2022-09-28,7250
total,State 2,Zone P,2020-12-26,14434
total,State 2,Zone P,2022-08-20,9698
total,State 3,Zone Q,2023-09-13,3733
total,State 2,Zone Q,2020-03-08,8556
total,State 1,Zone P,2020-05-15,6044
total,State 2,Zone Q,2023-05-08,7632
total,State 1,Zone Q,2023-02-28,7730
total,State 3,Zone Q,2021-12-04,6051
total,State 2,Zone Q,2022-01-19,9068
total,State 2,Zone Q,2020-12-02,11847
total,State 1,Zone Q,2022-11-07,8453
total,State 3,Zone R,2023-12-27,5544
total,State 1,Zone P,2020-02-12,5317
total,State 2,Zone P,2022-08-16,7954
total,State 2,Zone R,2022-03-22,10706
total,State 3,Zone P,2023-10-29,4477
total,State 2,Zone R,2023-08-02,6519
total,State 1,Zone P,2023-05-13,8870
total,State 1,Zone P,2022-09-18,9394
total,State 1,Zone P,2022-11-09,7767
total,State 1,Zone P,2021-02-10,5948
total,State 3,Zone R,2020-02-02,4331
total,State 1,Zone Q,2023-08-16,4240
total,State 1,Zone P,2021-11-20,7764
total,State 2,Zone Q,2020-05-25,7315
total,State 3,Zone R,2021-12-22,6525
total,State 3,Zone Q,2022-07-10,3189
total,State 2,Zone R,2023-01-29,11462
total,State 3,Zone R,2022-11-24,5000
total,State 1,Zone P,2022-01-13,8473
total,State 3,Zone P,2022-11-20,6845
total,State 3,Zone R,2020-04-28,6558
total,State 1,Zone R,2022-04-04,4357
total,State 3,Zone P,2022-02-27,6829
total,State 1,Zone R,2022-10-05,6478
total,State 1,Zone R,2023-02-13,5090
total,State 1,Zone Q,2021-01-21,8200
total,State 2,Zone Q,2022-10-06,10683
total,State 1,Zone P,2023-12-12,10045
total,State 1,Zone Q,2021-08-12,4811
total,State 3,Zone P,2023-12-02,6110
total,State 1,Zone P,2020-01-05,10468
total,State 2,Zone P,2023-06-16,4655
total,State 3,Zone Q,2020-03-25,6550
total,State 1,Zone Q,2020-06-13,5005
total,State 1,Zone R,2023-02-20,4357
total,State 1,Zone P,2021-02-16,5283
total,State 2,Zone P,2023-10-31,10432
total,State 2,Zone P,2022-09-13,8333
total,State 2,Zone P,2021-01-17,12098
total,State 3,Zone Q,2020-06-06,3453
total,State 2,Zone Q,2022-06-14,6225
total,State 1,Zone P,2022-12-13,8244
total,State 2,Zone Q,2020-10-29,11259
total,State 2,Zone Q,2023-01-10,8015
total,State 1,Zone P,2020-01-18,12320
total,State 2,Zone P,2021-07-23,4550
total,State 3,Zone P,2022-07-23,5028
total,State 2,Zone Q,2021-01-08,14592
total,State 3,Zone R,2020-06-18,3992
total,State 1,Zone P,2022-10-11,7460
total,State 1,Zone R,2023-09-17,5151
total,State 3,Zone P,2021-06-27,4215
total,State 3,Zone Q,2020-11-13,5564
total,State 3,Zone Q,2022-06-18,2933
total,State 1,Zone P,2022-06-26,4270
total,State 1,Zone P,2023-12-06,9890
total,State 1,Zone R,2023-08-31,3800
total,State 2,Zone R,2022-04-07,10999
total,State 1,Zone P,2021-08-17,4162
total,State 3,Zone Q,2022-06-07,3553
total,State 3,Zone P,2023-03-13,4837
total,State 1,Zone Q,2022-06-06,2996
total,State 2,Zone P,2021-12-08,14283
total,State 2,Zone Q,2022-12-05,11669
total,State 2,Zone R,2021-06-09,5530
total,State 1,Zone P,2021-06-29,5264
total,State 3,Zone P,2021-05-30,5441
total,State 3,Zone R,2023-09-07,6131
total,State 2,Zone P,2023-02-06,7410
total,State 3,Zone Q,2020-01-28,4620
total,State 2,Zone Q,2022-02-08,9115
total,State 1,Zone R,2020-02-22,8742
total,State 2,Zone R,2021-11-07,13137
total,State 3,Zone R,2023-06-14,2939
total,State 1,Zone R,2020-08-25,4334
total,State 3,Zone R,2020-03-23,3568
total,State 2,Zone R,2022-08-23,5181
total,State 1,Zone P,2021-05-24,5183
total,State 2,Zone Q,2022-03-04,11396
total,State 3,Zone Q,2021-09-16,5406
total,State 2,Zone Q,2023-09-29,9160
total,State 2,Zone R,2022-01-03,7106
total,State 3,Zone R,2023-05-14,7358
total,State 2,Zone P,2022-01-11,13374
total,State 2,Zone R,2023-07-24,4417
total,State 1,Zone Q,2021-09-11,8290
total,State 1,Zone P,2022-12-25,10156
total,State 2,Zone R,2022-07-21,5900
total,State 3,Zone P,2020-06-06,5206
total,State 2,Zone P,2023-12-26,8344
total,State 1,Zone P,2023-07-16,4397
total,State 3,Zone Q,2020-03-24,4332
total,State 1,Zone Q,2022-01-28,8294
total,State 1,Zone P,2022-02-07,5829
total,State 1,Zone R,2022-01-06,5941
total,State 3,Zone Q,2020-02-10,4433
total,State 2,Zone R,2020-11-21,14519
total,State 2,Zone Q,2022-09-03,10534
total,State 3,Zone Q,2023-03-15,6188
total,State 1,Zone P,2021-11-30,5946
total,State 2,Zone P,2023-03-08,11001
total,State 2,Zone Q,2023-02-28,11030
total,State 2,Zone P,2021-06-24,6855
total,State 2,Zone P,2023-01-21,14811
total,State 1,Zone R,2023-07-26,3279
total,State 1,Zone Q,2021-07-29,4280
total,State 3,Zone P,2020-06-23,4425
total,State 3,Zone R,2023-02-28,4325
total,State 2,Zone R,2021-06-10,5277
total,State 3,Zone R,2022-11-20,7032
total,State 2,Zone Q,2023-04-02,11352
total,State 1,Zone P,2023-05-01,5172
total,State 3,Zone Q,2020-07-12,3174
total,State 1,Zone R,2021-07-14,5514
total,State 1,Zone P,2022-12-26,6458
total,State 2,Zone P,2023-03-16,8192
total,State 1,Zone Q,2020-08-06,4993
total,State 1,Zone R,2023-11-08,10681
total,State 3,Zone P,2022-12-23,5208
total,State 2,Zone P,2021-10-31,8451
